"","filing","ctry_inv","variable","value","ctry_name"
"200",2019,"GB","mrna_pharma_i",0.065546218487395,"United Kingdom"
"201",2019,"IT","mrna_pharma_i",0.0186915887850467,"Italy"
"202",2019,"JP","mrna_pharma_i",0.0450751252086811,"Japan"
"203",2019,"KR","mrna_pharma_i",0.0735694822888283,"South Korea"
"204",2019,"SE","mrna_pharma_i",0.0307692307692308,"Sweden"
"205",2020,"CN","mrna_pharma_i",0.0668380462724936,"China"
"206",2020,"US","mrna_pharma_i",0.0852565044833162,"United States"
"207",2020,"CA","mrna_pharma_i",0.0503875968992248,"Canada"
"208",2020,"CH","mrna_pharma_i",0.0491228070175439,"Switzerland"
"209",2020,"DE","mrna_pharma_i",0.303350970017637,"Germany"
"210",2020,"FR","mrna_pharma_i",0.0821917808219178,"France"
"211",2020,"GB","mrna_pharma_i",0.0525210084033613,"United Kingdom"
"212",2020,"IT","mrna_pharma_i",0.0592592592592593,"Italy"
"213",2020,"JP","mrna_pharma_i",0.0223463687150838,"Japan"
"214",2020,"KR","mrna_pharma_i",0.0545454545454545,"South Korea"
"215",2020,"SE","mrna_pharma_i",0.0265486725663717,"Sweden"
"216",2020,"ES","mrna_pharma_i",0.0655737704918033,"Spain"
